=== INAA Legal Research — All-State Verification ===
CourtListener: token found
Mode: LIVE

1402 statutes to verify
  [497/1402] credit-card-fraud: LOW (0.15)
  [498/1402] criminal-mischief: LOW (0.15)
  [499/1402] criminal-threat: LOW (0.15)
  [500/1402] disorderly-conduct: LOW (0.15)
  [501/1402] domestic-violence: LOW (0.15)
  [502/1402] driving-on-suspended: LOW (0.15)
  [503/1402] drug-paraphernalia: LOW (0.15)
  [504/1402] drug-possession: LOW (0.15)
  [505/1402] drug-possession-marijuana: LOW (0.15)
  [506/1402] drug-trafficking: LOW (0.15)
  [507/1402] dui-dwi: LOW (0.15)
  [508/1402] dui-felony-injury: LOW (0.15)
  [509/1402] escape-custody: LOW (0.15)
  [510/1402] extortion: LOW (0.15)
  [511/1402] false-report: LOW (0.15)
  [512/1402] felon-in-possession: LOW (0.15)
  [513/1402] fleeing-eluding: LOW (0.15)
  [514/1402] forgery: LOW (0.15)
  [515/1402] grand-theft: LOW (0.15)
  [516/1402] harassment: LOW (0.15)
  [517/1402] identity-theft: LOW (0.15)
  [518/1402] impersonating-officer: LOW (0.15)
  [519/1402] involuntary-manslaughter: LOW (0.15)
  [520/1402] kidnapping: LOW (0.15)
  [521/1402] motor-vehicle-theft: LOW (0.15)
  [522/1402] murder-first-degree: LOW (0.15)
  [523/1402] obstruction-justice: LOW (0.15)
  [524/1402] perjury: LOW (0.15)
  [525/1402] petty-theft: LOW (0.15)

--- RI ---
  [526/1402] aggravated-assault: LOW (0.15)
  [527/1402] aiding-abetting: LOW (0.15)
  [528/1402] animal-cruelty: LOW (0.15)
  [529/1402] armed-robbery: LOW (0.15)
  [530/1402] arson: LOW (0.15)
  [531/1402] assault-with-deadly-weapon: LOW (0.15)
  [532/1402] attempt: LOW (0.15)
  [533/1402] attempted-murder: LOW (0.15)
  [534/1402] bad-checks: LOW (0.15)
  [535/1402] battery: LOW (0.15)
  [536/1402] bribery: LOW (0.15)
  [537/1402] burglary: LOW (0.15)
  [538/1402] child-abuse: LOW (0.15)
  [539/1402] child-endangerment: LOW (0.15)
  [540/1402] child-exploitation: LOW (0.15)
  [541/1402] concealed-carry-violation: LOW (0.15)
  [542/1402] conspiracy: LOW (0.15)
  [543/1402] contempt-of-court: LOW (0.15)
  [544/1402] counterfeiting: LOW (0.15)
  [545/1402] credit-card-fraud: LOW (0.15)
  [546/1402] criminal-mischief: LOW (0.15)
  [547/1402] criminal-threat: LOW (0.15)
  [548/1402] disorderly-conduct: LOW (0.15)
  [549/1402] domestic-battery: LOW (0.15)
  [550/1402] domestic-violence: LOW (0.15)
  [551/1402] driving-on-suspended: LOW (0.15)
  [552/1402] drug-distribution: LOW (0.15)
  [553/1402] drug-manufacturing: LOW (0.15)
  [554/1402] drug-paraphernalia: LOW (0.15)
  [555/1402] drug-possession: LOW (0.15)
  [556/1402] drug-possession-cocaine: LOW (0.15)
  [557/1402] drug-possession-marijuana: LOW (0.15)
  [558/1402] drug-possession-meth: LOW (0.15)
  [559/1402] drug-possession-with-intent: LOW (0.15)
  [560/1402] drug-trafficking: LOW (0.15)
  [561/1402] dui-drugs: LOW (0.15)
  [562/1402] dui-dwi: LOW (0.15)
  [563/1402] dui-first-offense: LOW (0.15)
  [564/1402] dui-repeat-offense: LOW (0.15)
  [565/1402] elder-abuse: LOW (0.15)
  [566/1402] embezzlement: LOW (0.15)
  [567/1402] escape-custody: LOW (0.15)
  [568/1402] failure-to-appear: LOW (0.15)
  [569/1402] failure-to-register: LOW (0.15)
  [570/1402] false-report: LOW (0.15)
  [571/1402] felon-in-possession: LOW (0.15)
  [572/1402] fleeing-eluding: LOW (0.15)
  [573/1402] forgery: LOW (0.15)
  [574/1402] fraud-general: LOW (0.15)
  [575/1402] grand-theft: LOW (0.15)
  [576/1402] harassment: LOW (0.15)
  [577/1402] hit-and-run: LOW (0.15)
  [578/1402] identity-theft: LOW (0.15)
  [579/1402] illegal-discharge: LOW (0.15)
  [580/1402] indecent-exposure: LOW (0.15)
  [581/1402] insurance-fraud: LOW (0.15)
  [582/1402] involuntary-manslaughter: LOW (0.15)
  [583/1402] kidnapping: LOW (0.15)
  [584/1402] money-laundering: LOW (0.15)
  [585/1402] motor-vehicle-theft: LOW (0.15)
  [586/1402] murder-first-degree: LOW (0.15)
  [587/1402] murder-second-degree: LOW (0.15)
  [588/1402] obstruction-justice: LOW (0.15)
  [589/1402] parole-violation: LOW (0.15)
  [590/1402] perjury: LOW (0.15)
  [591/1402] petty-theft: LOW (0.15)
