=== PRE-FILTER: Extract target cluster rows from 50GB opinions CSV ===

Target clusters: 6718
Using: C:\Program Files\Git\usr\bin\bzcat.exe
Header verified: column 21 = "cluster_id"
Streaming (multi-line aware)...

  875M lines, 3311927 records, 2193 matched, 192295 lines/sec (75.8 min)
  880M lines, 3328532 records, 2204 matched, 192423 lines/sec (76.2 min)
  885M lines, 3344047 records, 2207 matched, 192693 lines/sec (76.5 min)
  890M lines, 3356367 records, 2210 matched, 193028 lines/sec (76.8 min)
  895M lines, 3365988 records, 2212 matched, 193374 lines/sec (77.1 min)
  900M lines, 3374405 records, 2214 matched, 193724 lines/sec (77.4 min)
  905M lines, 3383283 records, 2218 matched, 194059 lines/sec (77.7 min)
  910M lines, 3391951 records, 2218 matched, 194376 lines/sec (78.0 min)
  915M lines, 3400594 records, 2219 matched, 194717 lines/sec (78.3 min)
  920M lines, 3409119 records, 2219 matched, 195102 lines/sec (78.6 min)
  925M lines, 3416870 records, 2220 matched, 195489 lines/sec (78.9 min)
  930M lines, 3424854 records, 2224 matched, 195877 lines/sec (79.1 min)
  935M lines, 3434527 records, 2226 matched, 196294 lines/sec (79.4 min)
  940M lines, 3443979 records, 2229 matched, 196666 lines/sec (79.7 min)
  945M lines, 3452402 records, 2233 matched, 197094 lines/sec (79.9 min)
  950M lines, 3459683 records, 2235 matched, 197462 lines/sec (80.2 min)
  955M lines, 3466609 records, 2236 matched, 197885 lines/sec (80.4 min)
  960M lines, 3473006 records, 2247 matched, 198272 lines/sec (80.7 min)
  965M lines, 3482169 records, 2250 matched, 198769 lines/sec (80.9 min)
  970M lines, 3492059 records, 2264 matched, 199207 lines/sec (81.2 min)
  975M lines, 3501408 records, 2281 matched, 199611 lines/sec (81.4 min)
  980M lines, 3512408 records, 2304 matched, 199844 lines/sec (81.7 min)
  985M lines, 3522755 records, 2324 matched, 200043 lines/sec (82.1 min)
  990M lines, 3533056 records, 2341 matched, 200346 lines/sec (82.4 min)
  995M lines, 3543140 records, 2359 matched, 200586 lines/sec (82.7 min)
  1000M lines, 3553600 records, 2375 matched, 200767 lines/sec (83.0 min)
  1005M lines, 3561449 records, 2400 matched, 201004 lines/sec (83.3 min)
  1010M lines, 3571598 records, 2419 matched, 201162 lines/sec (83.7 min)
  1015M lines, 3584340 records, 2440 matched, 201270 lines/sec (84.0 min)
  1020M lines, 3596279 records, 2470 matched, 201463 lines/sec (84.4 min)
  1025M lines, 3608323 records, 2493 matched, 201639 lines/sec (84.7 min)
  2500 records matched, 3611413 records scanned (84.8 min)
  1030M lines, 3621428 records, 2523 matched, 201746 lines/sec (85.1 min)
  1035M lines, 3636699 records, 2561 matched, 201508 lines/sec (85.6 min)
  1040M lines, 3655318 records, 2607 matched, 201202 lines/sec (86.1 min)
  1045M lines, 3671799 records, 2658 matched, 201104 lines/sec (86.6 min)
  1050M lines, 3682950 records, 2692 matched, 201295 lines/sec (86.9 min)
  1055M lines, 3694262 records, 2718 matched, 201515 lines/sec (87.3 min)
  1060M lines, 3706264 records, 2768 matched, 201720 lines/sec (87.6 min)
  1065M lines, 3720709 records, 2827 matched, 201848 lines/sec (87.9 min)
  1070M lines, 3733073 records, 2846 matched, 202039 lines/sec (88.3 min)
  1075M lines, 3743978 records, 2865 matched, 202373 lines/sec (88.5 min)
  1080M lines, 3762774 records, 2937 matched, 202331 lines/sec (89.0 min)
  1085M lines, 3772160 records, 2955 matched, 202581 lines/sec (89.3 min)
  1090M lines, 3781222 records, 2989 matched, 202810 lines/sec (89.6 min)
  3000 records matched, 3784864 records scanned (89.7 min)
  1095M lines, 3796662 records, 3035 matched, 202778 lines/sec (90.0 min)
  1100M lines, 3811389 records, 3062 matched, 202833 lines/sec (90.4 min)
  1105M lines, 3822139 records, 3077 matched, 203033 lines/sec (90.7 min)
  1110M lines, 3829388 records, 3098 matched, 203291 lines/sec (91.0 min)
  1115M lines, 3839190 records, 3123 matched, 203502 lines/sec (91.3 min)
  1120M lines, 3856520 records, 3170 matched, 203591 lines/sec (91.7 min)
  1125M lines, 3869030 records, 3196 matched, 203910 lines/sec (92.0 min)
  1130M lines, 3885266 records, 3199 matched, 204059 lines/sec (92.3 min)
  1135M lines, 3904016 records, 3200 matched, 204280 lines/sec (92.6 min)
